"ANO","TÍTULO","LINK"
1862,"Théorie de l’impôt ou la dime sociale","https://gallica.bnf.fr/ark:/12148/bpt6k24517f/f3.item "
1862,"De L’origine des espèces ou des lois du progrès chez les êtres organisés par Charles Darwin (1ª tradução)","https://books.google.com.br/books?id=TZIUAAAAQAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false "
1864,"Les Jumeaux d’Hellas","https://www.google.com.br/books/edition/Les_Jumeaux_d_Hellas/T6JgAAAAcAAJ?hl=en&gbpv=1&dq=inauthor:%22Cl%C3%A9mence+Royer%22&printsec=frontcover "
1866,"De L’origine des espèces par seléction naturelle ou des lois de transformation des êtres organisés par Charles Darwin (2ª tradução)","https://books.google.com.br/books?id=4QUAAAAAQAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false "
1870,"L’Origine de l’homme et des sociétés","https://gallica.bnf.fr/ark:/12148/bpt6k2139321.r=.langEN "
1870,"De L’origine des espèces par seléction naturelle ou des lois de transformation des êtres organisés par Charles Darwin (3ª tradução)","https://books.google.com.br/books?id=_SxhAAAAIAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false "
1877,"Deux hypothèses sur l'hérédité","https://gallica.bnf.fr/ark:/12148/bpt6k1080461.texteImage "
1881,"Le Bien et la loi morale: éthique et téléologie","https://gallica.bnf.fr/ark:/12148/bpt6k114301t.r=.langEN "
1900,"Constitution du monde: dynamique des atomes, nouveaux principes de philosophie naturelle","https://gallica.bnf.fr/ark:/12148/bpt6k1143026.r=Royer+La+Constitution+du+monde.langEN "
1901,"Histoire du ciel","https://gallica.bnf.fr/ark:/12148/bpt6k75229w.image "
